56.369814,10.268784,92
56.370955,10.279427,100
56.370955,10.2911,90
56.370955,10.302773,105
56.370955,10.314445,102
56.369814,10.326462,95
56.367722,10.338478,90
56.364489,10.349464,90
56.360115,10.360107,90
56.353648,10.368347,90
56.346609,10.368347,90
56.33995,10.364227,90
56.332718,10.358047,90
56.326056,10.347748,92
56.320154,10.333672,95
56.318441,10.320282,100
56.316727,10.306892,105
56.315013,10.293503,102
56.3133,10.280113,95
56.311776,10.266724,90
56.311205,10.252647,90
56.311014,10.234795,90
56.308729,10.217285,92
56.305491,10.199776,95
56.301872,10.182266,100
56.297301,10.165787,105
56.292157,10.150681,102
56.286059,10.136948,95
56.27958,10.133858,90
56.273671,10.137291,90
56.266617,10.144501,90
56.259944,10.15274,90
56.254222,10.16304,90
56.2485,10.17334,90
56.242778,10.18364,90
56.237054,10.193939,90
56.233619,10.206299,90
56.230948,10.218658,90
56.228276,10.231018,90
56.225604,10.243378,92
56.223886,10.259171,95
56.225604,10.273933,100
56.228085,10.28801,105
56.232665,10.299339,102
56.237245,10.306549,95
56.241824,10.313759,90
56.247547,10.319252,90
56.253269,10.321312,90
56.259372,10.318909,92
56.266427,10.315819,95
56.27348,10.312729,100
56.280533,10.309639,105
56.287584,10.306549,102
56.294633,10.303459,95
56.302063,10.301399,90
56.309872,10.300369,90
56.317679,10.300369,90
56.32301,10.294876,90
56.32834,10.289383,90
56.333289,10.283203,90
56.338047,10.275993,90
56.342614,10.26844,90
56.346039,10.260544,92
56.349083,10.252647,95
56.351366,10.245094,100
56.353648,10.236855,105
56.356882,10.231705,102
56.360306,10.228958,95
56.363158,10.233078,92
56.36544,10.240631,95
56.367152,10.248184,100
56.367532,10.255737,105
56.367722,10.264664,102
56.367532,10.273933,95
